objectid,filename,title,format,subject,description,creator,photography,source,date,rightsstatement,rights,language,location,multiplecoins,rarity,approximatevalue
coin011,CoinTableTennisfBackgroundRemoved.png,London 2012 - Table Tennis,png,,,Ian Rank-Broadley,The Royal Mint,,2011,https://www.royalmint.com/aboutus/policies-and-guidelines/advertising-guidelines/,"For Use on educational or informative websites or literature:Permission is granted, so long as the use of photography is in good taste and used in a positive context. All photography should be credited to The Royal Mint (The Royal Mint, date issued) which should be displayed below the image or at the bottom of the image.",English,United Kingdom,,,
coin012,CoinTableTennisbBackgroundRemoved.png,London 2012 - Table Tennis,png,,,Alan Linsdell,The Royal Mint,,2011,https://www.royalmint.com/aboutus/policies-and-guidelines/advertising-guidelines/,"For Use on educational or informative websites or literature:Permission is granted, so long as the use of photography is in good taste and used in a positive context. All photography should be credited to The Royal Mint (The Royal Mint, date issued) which should be displayed below the image or at the bottom of the image.",English,United Kingdom,,,
coin013,CoinCommonwealthGamesfBackgroundRemoved.png,The Glasgow 2014 Commonwealth Games,png,,,Ian Rank-Broadley,The Royal Mint,,2014,https://www.royalmint.com/aboutus/policies-and-guidelines/advertising-guidelines/,"For Use on educational or informative websites or literature:Permission is granted, so long as the use of photography is in good taste and used in a positive context. All photography should be credited to The Royal Mint (The Royal Mint, date issued) which should be displayed below the image or at the bottom of the image.",English,United Kingdom,,,
coin014,CoinCommonwealthGamesbBackgroundRemoved.png,The Glasgow 2014 Commonwealth Games,png,,,Alex Loudon;Dan Flashman,The Royal Mint,,2014,https://www.royalmint.com/aboutus/policies-and-guidelines/advertising-guidelines/,"For Use on educational or informative websites or literature:Permission is granted, so long as the use of photography is in good taste and used in a positive context. All photography should be credited to The Royal Mint (The Royal Mint, date issued) which should be displayed below the image or at the bottom of the image.",English,United Kingdom,,,
coin015,CoinBeatrixPotterfBackgroundRemoved.png,The 150th Anniversary of the Birth of Beatrix Potter,png,,,Jody Clark,The Royal Mint,,2016,https://www.royalmint.com/aboutus/policies-and-guidelines/advertising-guidelines/,"For Use on educational or informative websites or literature:Permission is granted, so long as the use of photography is in good taste and used in a positive context. All photography should be credited to The Royal Mint (The Royal Mint, date issued) which should be displayed below the image or at the bottom of the image.",English,United Kingdom,,,
coin016,CoinBeatrixPotterbBackgroundRemoved.png,The 150th Anniversary of the Birth of Beatrix Potter,png,,,Emma Noble,The Royal Mint,,2016,https://www.royalmint.com/aboutus/policies-and-guidelines/advertising-guidelines/,"For Use on educational or informative websites or literature:Permission is granted, so long as the use of photography is in good taste and used in a positive context. All photography should be credited to The Royal Mint (The Royal Mint, date issued) which should be displayed below the image or at the bottom of the image.",English,United Kingdom,,,
coin017,CoinTiggyWinklefBackgroundRemoved.png,Beatrix Potter - Mrs. Tiggy-Winkle,png,,,Jody Clark,The Royal Mint,,2016,https://www.royalmint.com/aboutus/policies-and-guidelines/advertising-guidelines/,"For Use on educational or informative websites or literature:Permission is granted, so long as the use of photography is in good taste and used in a positive context. All photography should be credited to The Royal Mint (The Royal Mint, date issued) which should be displayed below the image or at the bottom of the image.",English,United Kingdom,,,
coin018,CoinTiggyWinklebBackgroundRemoved.png,Beatrix Potter - Mrs. Tiggy-Winkle,png,,,Emma Noble,The Royal Mint,,2016,https://www.royalmint.com/aboutus/policies-and-guidelines/advertising-guidelines/,"For Use on educational or informative websites or literature:Permission is granted, so long as the use of photography is in good taste and used in a positive context. All photography should be credited to The Royal Mint (The Royal Mint, date issued) which should be displayed below the image or at the bottom of the image.",English,United Kingdom,,,
coin019,CoinPeterRabbitfBackgroundRemoved.png,Beatrix Potter - The Tale of Peter Rabbit,png,,,Jody Clark,The Royal Mint,,2016,https://www.royalmint.com/aboutus/policies-and-guidelines/advertising-guidelines/,"For Use on educational or informative websites or literature:Permission is granted, so long as the use of photography is in good taste and used in a positive context. All photography should be credited to The Royal Mint (The Royal Mint, date issued) which should be displayed below the image or at the bottom of the image.",English,United Kingdom,,,
coin020,CoinPeterRabbitbBackgroundRemoved.png,Beatrix Potter - The Tale of Peter Rabbit,png,,,Emma Noble,The Royal Mint,,2016,https://www.royalmint.com/aboutus/policies-and-guidelines/advertising-guidelines/,"For Use on educational or informative websites or literature:Permission is granted, so long as the use of photography is in good taste and used in a positive context. All photography should be credited to The Royal Mint (The Royal Mint, date issued) which should be displayed below the image or at the bottom of the image.",English,United Kingdom,,,
coin021,CoinTomKittenfBackgroundRemoved.png,Beatrix Potter - Tom Kitten,png,,,Jody Clark,The Royal Mint,,2017,https://www.royalmint.com/aboutus/policies-and-guidelines/advertising-guidelines/,"For Use on educational or informative websites or literature:Permission is granted, so long as the use of photography is in good taste and used in a positive context. All photography should be credited to The Royal Mint (The Royal Mint, date issued) which should be displayed below the image or at the bottom of the image.",English,United Kingdom,,,
coin022,CoinTomKittenbBackgroundRemoved.png,Beatrix Potter - Tom Kitten,png,,,Emma Noble,The Royal Mint,,2017,https://www.royalmint.com/aboutus/policies-and-guidelines/advertising-guidelines/,"For Use on educational or informative websites or literature:Permission is granted, so long as the use of photography is in good taste and used in a positive context. All photography should be credited to The Royal Mint (The Royal Mint, date issued) which should be displayed below the image or at the bottom of the image.",English,United Kingdom,,,
coin023,CoinJeremyFisherfBackgroundRemoved.png,Beatrix Potter - Mr. Jeremy Fisher,png,,,Jody Clark,The Royal Mint,,2017,https://www.royalmint.com/aboutus/policies-and-guidelines/advertising-guidelines/,"For Use on educational or informative websites or literature:Permission is granted, so long as the use of photography is in good taste and used in a positive context. All photography should be credited to The Royal Mint (The Royal Mint, date issued) which should be displayed below the image or at the bottom of the image.",English,United Kingdom,,,
coin024,CoinJeremyFisherbBackgroundRemoved.png,Beatrix Potter - Mr. Jeremy Fisher,png,,,Emma Noble,The Royal Mint,,2017,https://www.royalmint.com/aboutus/policies-and-guidelines/advertising-guidelines/,"For Use on educational or informative websites or literature:Permission is granted, so long as the use of photography is in good taste and used in a positive context. All photography should be credited to The Royal Mint (The Royal Mint, date issued) which should be displayed below the image or at the bottom of the image.",English,United Kingdom,,,
coin025,CoinBenjaminBunnyfBackgroundRemoved.png,Beatrix Potter - Benjamin Bunny,png,,,Jody Clark,The Royal Mint,,2017,https://www.royalmint.com/aboutus/policies-and-guidelines/advertising-guidelines/,"For Use on educational or informative websites or literature:Permission is granted, so long as the use of photography is in good taste and used in a positive context. All photography should be credited to The Royal Mint (The Royal Mint, date issued) which should be displayed below the image or at the bottom of the image.",English,United Kingdom,,,
coin026,CoinBenjaminBunnybBackgroundRemoved.png,Beatrix Potter - Benjamin Bunny,png,,,Emma Noble,The Royal Mint,,2017,https://www.royalmint.com/aboutus/policies-and-guidelines/advertising-guidelines/,"For Use on educational or informative websites or literature:Permission is granted, so long as the use of photography is in good taste and used in a positive context. All photography should be credited to The Royal Mint (The Royal Mint, date issued) which should be displayed below the image or at the bottom of the image.",English,United Kingdom,,,
coin027,CoinQE2CoronationfBackgroundRemoved.png,Isle of Man Sapphire Jubilee - The Imperial State Crown,png,,,Jody Clark,The Royal Mint,,2018,https://www.royalmint.com/aboutus/policies-and-guidelines/advertising-guidelines/,"For Use on educational or informative websites or literature:Permission is granted, so long as the use of photography is in good taste and used in a positive context. All photography should be credited to The Royal Mint (The Royal Mint, date issued) which should be displayed below the image or at the bottom of the image.",English,Isle of Man,,,
coin028,CoinQE2CoronationbBackgroundRemoved.png,Isle of Man Sapphire Jubilee - The Imperial State Crown,png,,,?,The Royal Mint,,2018,https://www.royalmint.com/aboutus/policies-and-guidelines/advertising-guidelines/,"For Use on educational or informative websites or literature:Permission is granted, so long as the use of photography is in good taste and used in a positive context. All photography should be credited to The Royal Mint (The Royal Mint, date issued) which should be displayed below the image or at the bottom of the image.",English,Isle of Man,,,
coin029,CoinPeoplesActfBackgroundRemoved.png,The 100th Anniversary of the Passing of the Represntation of the People Act 1918,png,,,Jody Clark,The Royal Mint,,2018,https://www.royalmint.com/aboutus/policies-and-guidelines/advertising-guidelines/,"For Use on educational or informative websites or literature:Permission is granted, so long as the use of photography is in good taste and used in a positive context. All photography should be credited to The Royal Mint (The Royal Mint, date issued) which should be displayed below the image or at the bottom of the image.",English,United Kingdom,,,
coin030,CoinPeoplesActbBackgroundRemoved.png,The 100th Anniversary of the Passing of the Represntation of the People Act 1918,png,,,Stephen Taylor,The Royal Mint,,2018,https://www.royalmint.com/aboutus/policies-and-guidelines/advertising-guidelines/,"For Use on educational or informative websites or literature:Permission is granted, so long as the use of photography is in good taste and used in a positive context. All photography should be credited to The Royal Mint (The Royal Mint, date issued) which should be displayed below the image or at the bottom of the image.",English,United Kingdom,,,
coin031,CoinPaddingtonfBackgroundRemoved.png,Paddington at the Station,png,,,Jody Clark,The Royal Mint,,2018,https://www.royalmint.com/aboutus/policies-and-guidelines/advertising-guidelines/,"For Use on educational or informative websites or literature:Permission is granted, so long as the use of photography is in good taste and used in a positive context. All photography should be credited to The Royal Mint (The Royal Mint, date issued) which should be displayed below the image or at the bottom of the image.",English,United Kingdom,,,
coin032,CoinPaddingtonbBackgroundRemoved.png,Paddington at the Station,png,,,David Knapton,The Royal Mint,,2018,https://www.royalmint.com/aboutus/policies-and-guidelines/advertising-guidelines/,"For Use on educational or informative websites or literature:Permission is granted, so long as the use of photography is in good taste and used in a positive context. All photography should be credited to The Royal Mint (The Royal Mint, date issued) which should be displayed below the image or at the bottom of the image.",English,United Kingdom,,,
coin033,CoinSherlockHolmesfBackgroundRemoved.png,Sherlock Holmes,png,,,Jody Clark,The Royal Mint,,2019,https://www.royalmint.com/aboutus/policies-and-guidelines/advertising-guidelines/,"For Use on educational or informative websites or literature:Permission is granted, so long as the use of photography is in good taste and used in a positive context. All photography should be credited to The Royal Mint (The Royal Mint, date issued) which should be displayed below the image or at the bottom of the image.",English,United Kingdom,,,
coin034,CoinSherlockHolmesbBackgroundRemoved.png,Sherlock Holmes,png,,,Stephen Raw,The Royal Mint,,2019,https://www.royalmint.com/aboutus/policies-and-guidelines/advertising-guidelines/,"For Use on educational or informative websites or literature:Permission is granted, so long as the use of photography is in good taste and used in a positive context. All photography should be credited to The Royal Mint (The Royal Mint, date issued) which should be displayed below the image or at the bottom of the image.",English,United Kingdom,,,
coin035,CoinDiversityfBackgroundRemoved.png,Diversity Built Britain,png,,,Jody Clark,The Royal Mint,,2020,https://www.royalmint.com/aboutus/policies-and-guidelines/advertising-guidelines/,"For Use on educational or informative websites or literature:Permission is granted, so long as the use of photography is in good taste and used in a positive context. All photography should be credited to The Royal Mint (The Royal Mint, date issued) which should be displayed below the image or at the bottom of the image.",English,United Kingdom,,,
coin036,CoinDiversitybBackgroundRemoved.png,Diversity Built Britain,png,,,Dominique Evans,The Royal Mint,,2020,https://www.royalmint.com/aboutus/policies-and-guidelines/advertising-guidelines/,"For Use on educational or informative websites or literature:Permission is granted, so long as the use of photography is in good taste and used in a positive context. All photography should be credited to The Royal Mint (The Royal Mint, date issued) which should be displayed below the image or at the bottom of the image.",English,United Kingdom,,,
